city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Tashkent,41.3111,69.2797,Uzbekistan,UZ,Toshkent,primary,2956384,2956384
Namangan,41.0011,71.6683,Uzbekistan,UZ,Namangan,admin,626120,626120
Andijon,40.7833,72.3333,Uzbekistan,UZ,Andijon,admin,547800,547800
Samarkand,39.6547,66.9758,Uzbekistan,UZ,Samarqand,admin,546303,546303
Nukus,42.4667,59.6000,Uzbekistan,UZ,Qoraqalpog‘iston,admin,319583,319583
Farg‘ona,40.3864,71.7864,Uzbekistan,UZ,Farg‘ona,admin,288850,288850
Bukhara,39.7667,64.4231,Uzbekistan,UZ,Buxoro,admin,280187,280187
Qarshi,38.8667,65.8000,Uzbekistan,UZ,Qashqadaryo,admin,274891,274891
Qo‘qon,40.5286,70.9425,Uzbekistan,UZ,Farg‘ona,,259700,259700
Marg‘ilon,40.4711,71.7247,Uzbekistan,UZ,Farg‘ona,,215400,215400
Jizzax,40.1158,67.8422,Uzbekistan,UZ,Jizzax,admin,163200,163200
Chirchiq,41.4667,69.5833,Uzbekistan,UZ,Toshkent,,159400,159400
Urganch,41.5500,60.6333,Uzbekistan,UZ,Xorazm,admin,150000,150000
Olmaliq,40.8500,69.6000,Uzbekistan,UZ,Toshkent,,141894,141894
Termiz,37.2167,67.2833,Uzbekistan,UZ,Surxondaryo,admin,136200,136200
Navoiy,40.0844,65.3792,Uzbekistan,UZ,Navoiy,admin,134100,134100
Angren,41.0167,70.1436,Uzbekistan,UZ,Toshkent,,126962,126962
Kogon Shahri,39.7275,64.5547,Uzbekistan,UZ,Buxoro,minor,107566,107566
Xiva,41.3814,60.3611,Uzbekistan,UZ,Xorazm,minor,105300,105300
Shahrisabz,39.0500,66.8333,Uzbekistan,UZ,Qashqadaryo,,100300,100300
Chust,40.9978,71.2403,Uzbekistan,UZ,Namangan,,100200,100200
Shahrixon,40.7167,72.0500,Uzbekistan,UZ,Andijon,minor,71400,71400
Asaka,40.6333,72.2333,Uzbekistan,UZ,Andijon,minor,62200,62200
Guliston,40.4833,68.7833,Uzbekistan,UZ,Sirdaryo,admin,55600,55600
Quva,40.5247,72.0700,Uzbekistan,UZ,Farg‘ona,minor,46400,46400
Xonobod,40.8000,73.0000,Uzbekistan,UZ,Andijon,,42301,42301
Paxtaobod,40.9294,72.4969,Uzbekistan,UZ,Andijon,minor,34400,34400
Buloqboshi,40.6222,72.5028,Uzbekistan,UZ,Andijon,minor,32200,32200
Qo‘rg‘ontepa,40.7336,72.7583,Uzbekistan,UZ,Andijon,minor,30800,30800
Dardoq,40.8156,72.8311,Uzbekistan,UZ,Andijon,,26055,26055
Poytug‘,40.9000,72.2500,Uzbekistan,UZ,Andijon,minor,26000,26000
Oltiariq,40.3917,71.4767,Uzbekistan,UZ,Farg‘ona,minor,25543,25543
Baliqchi,40.9000,71.8528,Uzbekistan,UZ,Andijon,minor,25100,25100
Chinobod,40.8767,71.9725,Uzbekistan,UZ,Andijon,,24000,24000
Jalolquduq,40.7194,72.6428,Uzbekistan,UZ,Andijon,,24000,24000
Rishton,40.3567,71.2847,Uzbekistan,UZ,Farg‘ona,minor,23706,23706
Yangi Marg‘ilon,40.4311,71.7183,Uzbekistan,UZ,Farg‘ona,,23531,23531
Beshariq,40.4358,70.6103,Uzbekistan,UZ,Farg‘ona,minor,22800,22800
Xo‘jaobod,40.6653,72.5667,Uzbekistan,UZ,Andijon,minor,20200,20200
Toshloq,40.4808,71.7608,Uzbekistan,UZ,Farg‘ona,minor,18600,18600
Vodil,40.1789,71.7297,Uzbekistan,UZ,Farg‘ona,minor,16200,16200
Yaypan,40.3758,70.8156,Uzbekistan,UZ,Farg‘ona,minor,15984,15984
Marhamat,40.5000,72.3333,Uzbekistan,UZ,Andijon,minor,13600,13600
Yozyovon,40.6619,71.7431,Uzbekistan,UZ,Farg‘ona,minor,12800,12800
Kuyganyor,40.8611,72.3111,Uzbekistan,UZ,Andijon,minor,12200,12200
Dang‘ara,40.5831,70.9100,Uzbekistan,UZ,Farg‘ona,minor,11500,11500
Oltinko‘l,40.8000,72.1667,Uzbekistan,UZ,Andijon,minor,6500,6500
Oqoltin,40.7500,71.7056,Uzbekistan,UZ,Andijon,minor,5700,5700
Navbahor,40.4808,70.7708,Uzbekistan,UZ,Farg‘ona,minor,4500,4500
Uchko‘prik,40.5422,71.0608,Uzbekistan,UZ,Farg‘ona,minor,4300,4300
Langar,40.5233,71.6539,Uzbekistan,UZ,Farg‘ona,minor,1079,1079
Oxunboboyev,40.7198,72.6428,Uzbekistan,UZ,Andijon,minor,,
